nome;preco;categoria;sku;estoque;imagem;descricao
Bateria Fenix Recarregável 14500 800mAh 3.6V 2.88Wh De Íon de Lítio ARB-L14-800;85.00;Acessório;PH-1440;67;https://images.tcdn.com.br/img/img_prod/620600/bateria_14500_recarregvel_fenix_arb_l14_800_1_20260526151003_05efb5c81d73.jpg;Bateria Fenix Recarregável 14500 800mAh 3.6V ARB-L14-800 A ARB-L14-800 é uma bateria recarregável de íon-lítio no formato 14500, desenvolvid
Bateria Fenix Recarregável 18650 2600mAh 3.6V 9.36Wh De Íon de Lítio ARB-L18-2600U;146.00;Acessório;PH-1444;482;https://images.tcdn.com.br/img/img_prod/620600/bateria_fenix_18650_2600u_mah_usb_1444_1_26e3124f5acc96006c779e61b6171178_20260526151003.jpg;Bateria Fenix Recarregável 18650 2600mAh 3.6V ARB-L18-2600U A ARB-L18-2600U é uma bateria recarregável de íon-lítio no formato 18650 com por
Bateria Fenix Recarregável 18650 3500mAh 3.6V 12.6Wh De Íon de Lítio ARB-L18-3500;250.00;Acessório;PH-1448;94;https://images.tcdn.com.br/img/img_prod/620600/bateria_18650_recarregvel_fenix_arb_l18_3500_1_20260526151003_59b747ca6538.jpg;Bateria Fenix Recarregável 18650 3500mAh 3.6V ARB-L18-3500 A ARB-L18-3500 é uma bateria recarregável de íon-lítio no formato 18650, desenvol
Bateria Fenix Recarregável 14500 1600mAh 1.5V 2.4Wh De Íon de Lítio ARB-L14-1600U;105.00;Acessório;PH-1476;14;https://images.tcdn.com.br/img/img_prod/620600/bateria_14500_recarregvel_fenix_arb_l14_1600u_1_20260526151003_989ed2efe96a.jpg;Bateria Fenix Recarregável 14500 1600mAh 1.5V ARB-L14-1600U A ARB-L14-1600U é uma bateria recarregável no formato 14500 com saída regulada d
Porta Sistema de Hidratação Warfare - Preto;110.35;Acessório;PH-1560;1;https://images.tcdn.com.br/img/img_prod/620600/porta_sistema_de_hidratacao_warfare_preto_1560_1_65bc69d6c18f4b6b6832daf70ce87ff0_20260526150847.jpg;Bolso Porta Sistema de Hidratação - Black Este bolso modular pode ser acoplado a qualquer plataforma MOLLE seja coletes ou mochilas. Tem cap
Canivete Multifuncional Ruike S21-B;204.00;Acessório;PH-1602;12;https://images.tcdn.com.br/img/img_prod/620600/canivete_multifuncional_ruike_s21_b_1602_1_d486e852d194b1c843a364d75af75483_20260526151024.png;Canivete Multifuncional Ruike S21-B - Preto O canivete S21 é uma ótima opção para quem procura um canivete simples para light outdoors e uso
Canivete Multifuncional Ruike S22-B;236.00;Acessório;PH-1604;12;https://images.tcdn.com.br/img/img_prod/620600/canivete_multifuncional_ruike_s22_b_1604_1_d020dad049582b0381eb29753a9f2ca3_20260526151024.jpg;Canivete Multifuncional Ruike S22-B - Preto O canivete S22 é uma ótima opção para quem procura um canivete simples para light outdoors e uso
Canivete Multifuncional Ruike S22-G;236.00;Acessório;PH-1606;10;https://images.tcdn.com.br/img/img_prod/620600/canivete_ruike_s22_g_1606_1_da3a162e3a8f5c6a523aa36ffdfee7ee_20260526151024.jpg;Canivete Multifuncional Ruike S22-G - Verde O canivete S22 é uma ótima opção para quem procura um canivete simples para light outdoors e uso
Canivete Multifuncional Ruike S21-G;204.00;Acessório;PH-1608;5;https://images.tcdn.com.br/img/img_prod/620600/canivete_multifuncional_ruike_s21_g_1608_1_1c49cbdd2ea8d3e2475173299893ba0e_20260526151024.png;Canivete Multifuncional Ruike S21-G - Verde O canivete S21 é uma ótima opção para quem procura um canivete simples para light outdoors e uso
Canivete Multifuncional Ruike S31-B;272.00;Acessório;PH-1610;10;https://images.tcdn.com.br/img/img_prod/620600/canivete_ruike_modelo_s31_b_1610_1_8eec10f2c42f8aae72f8abe210ef9633_20260526151024.jpg;Canivete Dobrável Ruike S31-B - Preto O canivete S31 é uma ótima opção para quem procura um canivete simples para light outdoors e uso EDC. 
Canivete Multifuncional Ruike S31-G;272.00;Acessório;PH-1616;7;https://images.tcdn.com.br/img/img_prod/620600/canivete_ruike_s31_g_1616_1_ed3be245204a51625f03d6cbde28413f_20260526151024.jpg;Canivete Dobrável Ruike S31-G - Verde O canivete S31 é uma ótima opção para quem procura um canivete simples para light outdoors e uso EDC. 
Carregador de Bateria Fenix ARE-X1;159.90;Acessório;PH-1642;58;https://images.tcdn.com.br/img/img_prod/620600/carregador_de_bateria_fenix_are_x1_1_20260526151005_3d0e47c0cf55.jpg;Carregador Fenix Are-X1 Fabricado para carregar baterias dos modelos 18650 e 26650, o X1 permite carga e descarga de bateria por porta micro
Bastão Sinalizador (40mm) para Lanternas Fenix - AOT-L;47.00;Acessório;PH-1674;4;https://images.tcdn.com.br/img/img_prod/620600/difusor_fenix_aot_l_para_lanternas_com_cabeca_de_40mm_1674_1_20260526150946.jpg;Bastão Sinalizador (40mm) para Lanternas Fenix - AOT-L AOT-L pode converter sua lanterna em uma varinha de alta visibilidade vermelho brilha
Bastão Sinalizador (24mm) para Lanternas Fenix - AOT-S;47.00;Acessório;PH-1676;189;https://images.tcdn.com.br/img/img_prod/620600/difusor_fenix_aot_s_para_lanternas_com_cabeca_de_24mm_1676_1_20260526150946.jpg;Bastão Sinalizador (24mm) para Lanternas Fenix - AOT-S O AOT-S pode converter sua lanterna em uma varinha de alta visibilidade vermelho bril
Bastão Sinalizador (34mm) para Lanternas Fenix - AOT-M;47.00;Acessório;PH-1678;96;https://images.tcdn.com.br/img/img_prod/620600/difusor_fenix_aot_m_para_lanternas_com_cabeca_de_34mm_1678_1_20260526150947.jpg;Bastão Sinalizador (34mm) para Lanternas Fenix - AOT-M O AOT-M pode converter sua lanterna em uma varinha de alta visibilidade vermelho bril
Difusor Fenix AD202 Para Lanternas Com Cabeça De 34mm;29.90;Acessório;PH-1680;19;https://images.tcdn.com.br/img/img_prod/620600/difusor_fenix_para_lanternas_com_cabeca_de_34mm_1680_1_20260526150947.jpg;Bastão Sinalizador ( 34mm) para Lanternas Fenix - AD202 O difusor Fenix foi fabricado com a ideia de auxiliar quem precisa sinalizar seja no
Extensor Fenix Para Lanterna TK75;384.00;Acessório;PH-1704;3;https://images.tcdn.com.br/img/img_prod/620600/extensor_fenix_para_lanterna_tk75_1704_1_20260526150947.jpg;Extensor Fenix Para Lanterna TK75 O extensor para TK75 te permite aumentar ainda mais a duração adicionando um slot para mais quatro bateria
Acionador Remoto para Lanterna Fenix AR102;215.00;Acessório;PH-1718;5;https://images.tcdn.com.br/img/img_prod/620600/acionador_remoto_para_lanterna_fenix_ar102_1_20260526150947_db65d1dee54a.jpg;Interruptor para Acionamento Remoto - Fenix AR102 Especialmente projetado para lanternas táticas, o AR102 possui três sensores conectados em
Lanterna para Bike Fenix BC30 - 1800 Lúmens;1218.90;Acessório;PH-1734;6;https://images.tcdn.com.br/img/img_prod/620600/lanterna_para_bike_fenix_bc30_1800_lumens_1734_1_c0390b85a8ef11ab3577dd0b83e52016_20260526150944.jpg;Lanterna para Bike Fenix BC30 - 1800 Lúmens A lanterna BC30 é mais do que uma lanterna, é uma aliada para os amantes de bicicleta. Com seus 
Lanterna EDC Fenix E15 - 450 Lúmens;346.00;Acessório;PH-1758;1;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_e15_alcance_de_ate_132m_450_lumens_1758_1_0a04c9cf3e5688743fa1c9cdfdd5120f_20260526150925.jpg;Lanterna EDC Fenix E15 - 450 Lúmens A Fenix E15 (2016) pode parecer apenas uma pequena lanterna de chaveiro, mas seu desempenho surpreendent
Lanterna EDC Fenix E20 - 265 Lúmens;455.60;Acessório;PH-1764;2;https://images.tcdn.com.br/img/img_prod/620600/lanterna_edc_fenix_e20_265_lmens_1_20260526150926_ca29cee94561.jpg;Lanterna EDC Fenix E20 - 265 Lúmens A E20 é uma lanterna portátil , ideal para suas atividades diárias. Com apenas duas pilhas AA, ela é cap
